The original input was: 5 (0,3,200,3)(0,9,500,3)(0,20,500,3)(100,1,100,3)(100,100,500,3)
The (sorted) input is: 5 (0,3,200,3)(0,9,500,3)(0,20,500,3)(100,1,100,3)(100,100,500,3)

This detailed printout gives the state and remaining burst for each process

before cycle: 262 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 32
before cycle: 263 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 31
before cycle: 264 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 30
before cycle: 265 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 29
before cycle: 266 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 28
before cycle: 267 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 27
before cycle: 268 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 26
before cycle: 269 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 25
before cycle: 270 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 24
before cycle: 271 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 23
before cycle: 272 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 22
before cycle: 273 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 21
before cycle: 274 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 20
before cycle: 275 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 19
before cycle: 276 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 18
before cycle: 277 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 17
before cycle: 278 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 16
before cycle: 279 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 15
before cycle: 280 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 14
before cycle: 281 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 13
before cycle: 282 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 12
before cycle: 283 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 11
before cycle: 284 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 10
before cycle: 285 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 9
before cycle: 286 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 8
before cycle: 287 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 7
before cycle: 288 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 6
before cycle: 289 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 5
before cycle: 290 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 4
before cycle: 291 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 3
before cycle: 292 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 2
before cycle: 293 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 1
before cycle: 294 ready 0 	 running 5	 ready 0 	 ready 0 	 blocked 3
before cycle: 295 ready 0 	 running 4	 ready 0 	 ready 0 	 blocked 2
before cycle: 296 ready 0 	 running 3	 ready 0 	 ready 0 	 blocked 1
before cycle: 297 ready 0 	 running 2	 ready 0 	 ready 0 	 ready 0 
